,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
158,customer behavior,mobile computing and ubiquitous services,0.697,112,14,service,0.321,operations,0.25,marketing,0.571,information_systems,0.357,19,12,Customer Behavior,IT & Digital Platform Management
159,professional and general service design,human-robot interaction,0.697,38,26,service,0.579,operations,0.368,service,0.654,marketing,0.154,14,17,Service Operations & Design,AI & Human-Computer Interaction
160,optimization theory and methods,robotics and automation engineering,0.696,199,17,operations,0.734,management,0.201,service,0.412,economics,0.176,0,5,Operations Research & Queueing Theory,Innovation & Technology Management
161,risk management and analysis,service research and methodologies,0.696,98,51,operations,0.439,marketing,0.133,service,0.882,marketing,0.078,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
162,service marketing and management,hrm practices and systems,0.696,397,21,service,0.557,marketing,0.332,human_resources,0.619,management,0.19,7,2,Marketing & Customer Relationship Management,Organizational Behavior & HRM
163,technology management,social work and symbolic interaction,0.696,188,14,management,0.197,economics,0.176,service,0.357,human_resources,0.214,5,3,Innovation & Technology Management,Institutional & Social Studies
164,strategic management and theories,emotional and cognitive responses to service failures,0.696,841,10,management,0.348,marketing,0.194,service,0.5,marketing,0.3,8,1,Strategic Management & Performance,Consumer Psychology & Decision Making
165,customer experience management and design,service ecosystems theory and research,0.696,91,15,service,0.462,marketing,0.308,service,0.733,marketing,0.2,15,3,Retailing & Customer Experience,Institutional & Social Studies
166,risk management and analysis,robotics and automation engineering,0.696,98,17,operations,0.439,marketing,0.133,service,0.412,economics,0.176,6,5,"Finance, Governance & Regulation",Innovation & Technology Management
167,artificial intelligence and machine learning,stakeholder theory and research,0.696,100,68,service,0.26,marketing,0.24,ethics,0.397,management,0.265,17,11,AI & Human-Computer Interaction,Sustainability & CSR
168,general entrepreneurship and theory,customer-employee and service provider interactions,0.696,284,70,entrepreneurship,0.282,management,0.215,service,0.3,organization,0.243,5,2,Innovation & Technology Management,Organizational Behavior & HRM
169,marketing research methods,robotics and automation engineering,0.696,150,17,marketing,0.767,service,0.113,service,0.412,economics,0.176,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
170,human resource management and strategy,justice perceptions and theories in service contexts,0.696,610,13,management,0.315,human_resources,0.239,service,0.615,ethics,0.154,2,7,Organizational Behavior & HRM,Marketing & Customer Relationship Management
171,social network research and data analysis,robotics and automation engineering,0.696,121,17,management,0.248,marketing,0.248,service,0.412,economics,0.176,3,5,Institutional & Social Studies,Innovation & Technology Management
172,international business and management,artificial intelligence and machine learning,0.696,253,100,international_business,0.225,ethics,0.206,service,0.26,marketing,0.24,15,17,Retailing & Customer Experience,AI & Human-Computer Interaction
173,economics of information goods and services,human-robot interaction,0.695,101,26,operations,0.248,marketing,0.228,service,0.654,marketing,0.154,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
174,econometric modeling and analysis,human-robot interaction,0.695,187,26,marketing,0.374,management,0.198,service,0.654,marketing,0.154,9,17,Data Science & Machine Learning,AI & Human-Computer Interaction
175,communication and communications,justice perceptions and theories in service contexts,0.695,103,13,marketing,0.408,ethics,0.146,service,0.615,ethics,0.154,16,7,Communication & Reputation Management,Marketing & Customer Relationship Management
176,service innovation,financial technology (fintech),0.695,75,34,service,0.373,economics,0.213,information_systems,0.235,finance,0.176,5,6,Innovation & Technology Management,"Finance, Governance & Regulation"
177,health care services research,interdisciplinary and multidisciplinary research approaches and collaboration,0.695,111,37,operations,0.288,management,0.198,service,0.297,management,0.216,10,3,Healthcare Management & Policy,Institutional & Social Studies
178,service innovation,general education studies,0.695,75,106,service,0.373,economics,0.213,ethics,0.151,marketing,0.151,5,3,Innovation & Technology Management,Institutional & Social Studies
179,customer experience management and design,mobile computing and ubiquitous services,0.695,91,14,service,0.462,marketing,0.308,marketing,0.571,information_systems,0.357,15,12,Retailing & Customer Experience,IT & Digital Platform Management
180,supply chain and demand chain management,emotional expression and engagement in service interactions,0.695,588,13,operations,0.665,management,0.143,service,0.615,marketing,0.231,13,1,Supply Chain & Contract Management,Consumer Psychology & Decision Making
181,public health and nutrition,service encounter interaction and process,0.695,109,23,operations,0.303,economics,0.183,service,0.609,marketing,0.13,10,14,Healthcare Management & Policy,Service Operations & Design
182,communication studies,human-robot interaction,0.695,115,26,marketing,0.452,information_systems,0.157,service,0.654,marketing,0.154,16,17,Communication & Reputation Management,AI & Human-Computer Interaction
183,development economics,artificial intelligence and machine learning,0.695,79,100,economics,0.392,operations,0.19,service,0.26,marketing,0.24,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
184,service innovation,opinion mining and sentiment analysis,0.695,75,19,service,0.373,economics,0.213,marketing,0.579,management,0.211,5,9,Innovation & Technology Management,Data Science & Machine Learning
185,service research and methodologies,sharing economy research and impacts,0.695,51,43,service,0.882,marketing,0.078,marketing,0.349,management,0.209,3,4,Institutional & Social Studies,Platform Economics & Market Design
186,healthcare and healthcare sciences,human-robot interaction,0.694,188,26,operations,0.511,management,0.181,service,0.654,marketing,0.154,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
187,service innovation,communication studies,0.694,75,115,service,0.373,economics,0.213,marketing,0.452,information_systems,0.157,5,16,Innovation & Technology Management,Communication & Reputation Management
188,artificial intelligence and machine learning,digital platforms and their management,0.694,100,22,service,0.26,marketing,0.24,management,0.364,information_systems,0.273,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
189,service marketing and management,reputation theory and economic implications,0.694,397,21,service,0.557,marketing,0.332,management,0.333,finance,0.143,7,16,Marketing & Customer Relationship Management,Communication & Reputation Management
190,institutional theory and related approaches,customer-employee and service provider interactions,0.694,241,70,management,0.266,organization,0.224,service,0.3,organization,0.243,3,2,Institutional & Social Studies,Organizational Behavior & HRM
191,artificial intelligence and machine learning,service-dominant logic theory and framework,0.694,100,52,service,0.26,marketing,0.24,marketing,0.481,service,0.404,17,18,AI & Human-Computer Interaction,Service-Dominant Logic & Value Co-creation
192,service innovation,electronic and online word of mouth (ewom) communication,0.694,75,84,service,0.373,economics,0.213,marketing,0.631,service,0.167,5,7,Innovation & Technology Management,Marketing & Customer Relationship Management
193,electronic commerce and e-commerce systems,professional and general service design,0.694,246,38,information_systems,0.309,marketing,0.236,service,0.579,operations,0.368,9,14,Data Science & Machine Learning,Service Operations & Design
194,healthcare services and systems management,service encounter interaction and process,0.694,244,23,operations,0.43,management,0.197,service,0.609,marketing,0.13,10,14,Healthcare Management & Policy,Service Operations & Design
195,service research and methodologies,electronic and online word of mouth (ewom) communication,0.694,51,84,service,0.882,marketing,0.078,marketing,0.631,service,0.167,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
